DateTime	Categoria	NavigatedTo
07/12/2023 15:47:52	Apprendimento	epicode
07/12/2023 15:49:01	Apprendimento	epicode
07/12/2023 15:52:40	Apprendimento	epicode
07/12/2023 15:53:46	Apprendimento	epicode
07/12/2023 15:53:52	Apprendimento	epicode
07/12/2023 15:54:27	Apprendimento	epicode
07/12/2023 15:56:35	Apprendimento	epicode
07/12/2023 15:56:42	Apprendimento	epicode
07/12/2023 15:57:28	Apprendimento	epicode
07/12/2023 15:57:29	Apprendimento	epicode
07/12/2023 15:57:31	Apprendimento	epicode
07/12/2023 16:00:00	Apprendimento	epicode
07/12/2023 16:13:17	Apprendimento	epicode
07/12/2023 16:13:20	Apprendimento	epicode
07/12/2023 17:54:17	Apprendimento	epicode
07/12/2023 17:54:21	Apprendimento	epicode
08/12/2023 01:08:59	Apprendimento	epicode
08/12/2023 01:09:02	Apprendimento	epicode
08/12/2023 01:09:14	Apprendimento	epicode
08/12/2023 01:09:18	Apprendimento	epicode
08/12/2023 01:09:23	Apprendimento	epicode
09/12/2023 14:49:08	Apprendimento	epicode
09/12/2023 14:49:14	Apprendimento	epicode
09/12/2023 14:54:05	Apprendimento	epicode
09/12/2023 14:54:09	Apprendimento	epicode
09/12/2023 14:54:15	Apprendimento	epicode
09/12/2023 14:54:21	Apprendimento	epicode
09/12/2023 14:54:30	Apprendimento	epicode
11/12/2023 08:52:27	Apprendimento	epicode
11/12/2023 08:52:31	Apprendimento	epicode
11/12/2023 09:49:03	Apprendimento	epicode
11/12/2023 09:49:06	Apprendimento	epicode
11/12/2023 15:50:01	Apprendimento	epicode
11/12/2023 15:50:08	Apprendimento	epicode
11/12/2023 15:50:11	Apprendimento	epicode
11/12/2023 15:50:32	Apprendimento	epicode
11/12/2023 15:50:37	Apprendimento	epicode
11/12/2023 15:50:41	Apprendimento	epicode
11/12/2023 15:50:48	Apprendimento	epicode
11/12/2023 15:50:50	Apprendimento	epicode
11/12/2023 15:51:01	Apprendimento	epicode
11/12/2023 15:51:03	Apprendimento	epicode
11/12/2023 15:51:49	Apprendimento	epicode
11/12/2023 15:51:51	Apprendimento	epicode
11/12/2023 15:51:57	Apprendimento	epicode
11/12/2023 15:52:02	Apprendimento	epicode
11/12/2023 15:52:04	Apprendimento	epicode
11/12/2023 15:52:09	Apprendimento	epicode
11/12/2023 15:52:11	Apprendimento	epicode
11/12/2023 15:52:37	Apprendimento	epicode
11/12/2023 15:52:42	Apprendimento	epicode
11/12/2023 15:52:44	Apprendimento	epicode
11/12/2023 15:52:45	Apprendimento	epicode
11/12/2023 15:52:50	Apprendimento	epicode
11/12/2023 15:53:09	Apprendimento	epicode
11/12/2023 15:53:19	Apprendimento	epicode
11/12/2023 15:53:22	Apprendimento	epicode
11/12/2023 15:53:27	Apprendimento	epicode
11/12/2023 15:53:29	Apprendimento	epicode
11/12/2023 15:53:35	Apprendimento	epicode
11/12/2023 15:53:38	Apprendimento	epicode
11/12/2023 15:53:41	Apprendimento	epicode
12/12/2023 08:55:32	Apprendimento	epicode
12/12/2023 08:55:35	Apprendimento	epicode
12/12/2023 11:46:23	Apprendimento	epicode
12/12/2023 11:46:25	Apprendimento	epicode
12/12/2023 12:45:28	Apprendimento	epicode
12/12/2023 12:45:38	Apprendimento	epicode
12/12/2023 12:45:44	Apprendimento	epicode
12/12/2023 12:45:47	Apprendimento	epicode
12/12/2023 12:45:51	Apprendimento	epicode
12/12/2023 12:45:58	Apprendimento	epicode
12/12/2023 12:46:19	Apprendimento	epicode
12/12/2023 12:46:27	Apprendimento	epicode
12/12/2023 12:46:30	Apprendimento	epicode
12/12/2023 12:46:37	Apprendimento	epicode
12/12/2023 12:47:29	Apprendimento	epicode
12/12/2023 12:47:40	Apprendimento	epicode
12/12/2023 12:47:45	Apprendimento	epicode
12/12/2023 12:47:48	Apprendimento	epicode
12/12/2023 12:49:14	Apprendimento	epicode
12/12/2023 12:49:27	Apprendimento	epicode
12/12/2023 14:09:38	Apprendimento	epicode
12/12/2023 14:09:40	Apprendimento	epicode
12/12/2023 14:10:13	Apprendimento	epicode
12/12/2023 14:10:15	Apprendimento	epicode
12/12/2023 14:12:40	Apprendimento	epicode
12/12/2023 14:18:41	Apprendimento	epicode
12/12/2023 14:18:43	Apprendimento	epicode
12/12/2023 14:18:49	Apprendimento	epicode
12/12/2023 14:19:07	Apprendimento	epicode
12/12/2023 14:27:55	Apprendimento	epicode
